Reference,Qty,Value / Part,Footprint / Notes,Assembly
U1,1,ELEGOO ESP-WROOM-32 USB-C 30-pin,"2x15, 2.54 mm pitch, 25.4 mm row spacing",Socket or solder headers
U2,1,SlimeVR MuMo V1.1 ICM-45686 + QMC6309,"18 x 13 mm, 7+6 castellated/header pins",Fit both rows for SPI
U3,1,Protected TP4056 USB-C module,Approx. 26 x 17 mm; IN+/IN-/B+/B-/OUT+/OUT-,Protection version required
"D1,D2",2,1N5817 Schottky diode,"DO-41 axial, 10.16 mm pitch",Band/cathode toward K
R1,1,180 kOhm 1/4 W,"Axial, 10.16 mm pitch",Battery sense
R2,1,220 kOhm 1/4 W,"Axial, 10.16 mm pitch",Battery divider upper
R3,1,100 kOhm 1/4 W,"Axial, 10.16 mm pitch",Battery divider lower
SW1,1,SK12D07/SK12D07VG high-3mm,"SPDT, 2.54 mm pin pitch",Center common
J3,1,503759 3.7 V protected LiPo,Bare red/black leads to large pads,Verify polarity before soldering
Headers,1,2.54 mm male/female header assortment,"For ESP32, MuMo, TP4056",Trim flush under PCB
STRAP,1,50 mm (2-inch) adjustable elastic or nylon body strap with buckle,1.0-2.0 mm thick webbing; choose a length for the intended body location,Thread beneath both rails so the chassis long side is vertical
